,SMA
2019-12-04,188.8619
2019-12-05,189.1074
2019-12-06,189.4082
2019-12-09,189.7363
2019-12-10,190.0269
2019-12-11,190.3679
2019-12-12,190.8004
2019-12-13,191.2071
2019-12-16,191.6011
2019-12-17,192.0084
2019-12-18,192.4730
2019-12-19,192.9280
2019-12-20,193.3715
2019-12-23,193.7789
2019-12-24,194.1888
2019-12-26,194.5881
2019-12-27,194.9930
2019-12-30,195.3612
2019-12-31,195.7729
2020-01-02,196.2203
2020-01-03,196.6592
2020-01-06,197.1176
2020-01-07,197.5395
2020-01-08,197.9627
2020-01-09,198.3843
2020-01-10,198.8245
2020-01-13,199.2951
2020-01-14,199.7471
2020-01-15,200.1664
2020-01-16,200.6028
2020-01-17,201.0582
2020-01-21,201.5204
2020-01-22,201.9811
2020-01-23,202.4403
2020-01-24,202.8682
2020-01-27,203.1961
2020-01-28,203.5878
2020-01-29,203.9894
2020-01-30,204.3778
2020-01-31,204.6951
2020-02-03,205.0704
2020-02-04,205.5674
2020-02-05,206.0876
2020-02-06,206.6432
2020-02-07,207.1338
2020-02-10,207.6703
2020-02-11,208.1800
2020-02-12,208.7515
2020-02-13,209.3576
2020-02-14,210.0072
2020-02-18,210.6390
2020-02-19,211.3064
2020-02-20,211.8896
2020-02-21,212.4037
2020-02-24,212.7497
2020-02-25,212.9587
2020-02-26,213.1597
2020-02-27,213.1384
2020-02-28,213.0802
2020-03-02,213.2246
2020-03-03,213.2319
2020-03-04,213.3827
2020-03-05,213.3892
2020-03-06,213.3161
2020-03-09,212.9620
2020-03-10,212.7752
2020-03-11,212.4203
2020-03-12,211.7470
2020-03-13,211.3558
2020-03-16,210.4515
2020-03-17,209.8332
2020-03-18,209.0814
2020-03-19,208.3506
2020-03-20,207.4542
2020-03-23,206.5247
2020-03-24,205.8613
2020-03-25,205.1229
2020-03-26,204.5870
2020-03-27,203.9217
2020-03-30,203.3460
2020-03-31,202.7174
2020-04-01,201.9342
2020-04-02,201.2112
2020-04-03,200.4233
2020-04-06,199.9254
2020-04-07,199.5147
2020-04-08,199.1200
2020-04-09,198.7240
2020-04-13,198.3546
2020-04-14,198.2242
2020-04-15,197.9829
2020-04-16,197.7172
2020-04-17,197.4766
2020-04-20,197.1486
2020-04-21,196.6878
2020-04-22,196.2913
2020-04-23,195.8852
2020-04-24,195.4997
2020-04-27,195.1533
2020-04-28,194.7154
2020-04-29,194.4209
2020-04-30,194.0811
2020-05-01,193.6646
2020-05-04,193.3830
2020-05-05,193.3199
2020-05-06,193.3990
2020-05-07,193.5111
2020-05-08,193.8913
2020-05-11,194.3072
2020-05-12,194.4263
2020-05-13,194.6256
2020-05-14,194.7044
2020-05-15,194.9389
2020-05-18,195.3228
2020-05-19,195.9746
2020-05-20,196.5105
2020-05-21,197.1693
2020-05-22,198.1887
2020-05-26,198.9064
2020-05-27,200.0928
2020-05-28,201.0256
2020-05-29,202.1305
2020-06-01,203.2285
2020-06-02,204.4912
2020-06-03,205.7720
2020-06-04,206.7655
2020-06-05,207.8753
2020-06-08,208.8355
2020-06-09,209.9571
2020-06-10,211.0049
2020-06-11,211.8485
2020-06-12,212.8844
2020-06-15,213.9044
2020-06-16,215.0546
2020-06-17,215.9663
2020-06-18,216.8922
2020-06-19,217.7367
2020-06-22,218.6322
2020-06-23,219.5264
2020-06-24,220.1504
2020-06-25,220.8664
2020-06-26,221.3960
2020-06-29,221.9368
2020-06-30,222.6192
2020-07-01,223.5094
2020-07-02,224.3149
2020-07-06,225.2492
2020-07-07,226.0849
2020-07-08,226.9528
2020-07-09,227.9416
2020-07-10,228.8200
2020-07-13,229.5950
2020-07-14,230.5248
2020-07-15,231.4168
2020-07-16,232.2272
2020-07-17,233.0175
2020-07-20,233.8959
2020-07-21,234.6616
2020-07-22,235.4064
2020-07-23,236.1091
2020-07-24,236.8180
2020-07-27,237.5672
2020-07-28,238.2243
2020-07-29,238.8584
2020-07-30,239.5298
2020-07-31,240.2039
2020-08-03,240.9963
2020-08-04,241.7927
2020-08-05,242.6142
2020-08-06,243.4810
2020-08-07,244.2922
2020-08-10,245.0157
2020-08-11,245.6266
2020-08-12,246.3362
2020-08-13,247.0374
2020-08-14,247.7645
2020-08-17,248.4627
2020-08-18,249.1763
2020-08-19,249.8198
2020-08-20,250.4810
2020-08-21,251.4157
2020-08-24,252.3486
2020-08-25,253.2691
2020-08-26,254.2286
